content,course_link,course_start_date,description,duration,faculty_1_description,faculty_1_designation,faculty_1_name,faculty_2_description,faculty_2_designation,faculty_2_name,fee_in_inr,fee_in_usd,institute,prerequisites,skills,target_students,title,what_you_will_learn
"1. Foundation (12 Credits)
2. Concentration (12 Credits)
3. Final dissertation (32 Credits)",https://talentedge.com/golden-gate-university/doctor-of-business-administration,"15 Feb, 2024","Go beyond the boundaries of your job, without quitting it. Be a sought after specialist with the same doctorate degree awarded on campus. Earn the ‘Dr’ title after successfully completing the program. The Doctor of Business Administration (DBA) program is designed for professionals who want to further their career with the most advanced business degree progr",Duration: 36 Months,"Director, DBA. Served as a Military Officer for 24 years and has been in the teaching industry with GGU for 22 years now.","Director, DBA Program",Dr. Mick Mcgee,"Director, DBA. Served as a Military Officer for 24 years and has been in the teaching industry with GGU for 22 years now.","Professor & Director, Academic Innovation",Dr. Judith Lee,INR 1226438 + GST,USD 15000,Golden Gate University,, Applied Research  |  Concept Selection  |  Management Issues Redressal  |  Critical Decision-Making  |  Critical Thinking ,Working professionals who are looking for a transition into the C-suite or Senior Management professionals looking to become experts in their domain of choice., Doctor Of Business Administration, Recognizing and solving the business problem  |  Research based problem resolution  |  Disruptive Innovation Strategy  |  Organizational Agility and Winning Execution  |  Recognizing and solving the business problem  |  Data collection techniques 
,https://talentedge.com/ecornell/certificate-course-data-analytics-360,,,,,,,,,,,,,,,,,
,https://talentedge.com/ecornell/certificate-course-executive-leadership,,,,,,,,,,,,,,,,,
"1. Introduction to HR Analytics
2. HR Practices and Benchmarking
3. Workforce Planning and Talent Sourcing Analytics
4. Talent Acquisition and Development Analytics
5. Induction and Culture Fit- Value Congruence
6. Talent Engagement Analytics
7. Collaboration Analytics - Building Effective Systems
8. Talent Analytics- Performance, Potential & Rewards
9. Talent Retention Analytics
10. Employee Wellness- Health & Safety
11. Capstone Project",https://talentedge.com/iim-kozhikode/professional-certificate-programme-in-hr-management-and-analytics,"15 Feb, 2024",This program deals with the collection and management of talent data and its effective application. The course helps to develop the HR analytical skills to handle the data-driven insights and improve the workforce. The managerial skills acquired during this program helps to take informed decisions and promote employee experience. It is targeted for HR practitioners,Duration: 5 Months,"Prof. T.N. Kishnan teaches Organizational Behaviour and
Human Resources.  He is a Fulbright
Senior Fellow from Wharton School, University of Pennsylvania and IIM
Ahmedabad. .
His areas of expertise include Talent & Performance
Management, Corporate/Public Sector Leadership, Corporate Accountability and
Human Resource Management. He has presented paper at the program of the North
American Case Research Association (NACRA) at San Antanio, Texas on Sustaining
a Social Enterprise. He has earlier served as Managing Editor, IIMK Society
& Management Review, from June 2017-March 2019.","Professor, IIM Kozhikode",Prof T.N. Krishnan,"Prof. T.N. Kishnan teaches Organizational Behaviour and
Human Resources.  He is a Fulbright
Senior Fellow from Wharton School, University of Pennsylvania and IIM
Ahmedabad. .
His areas of expertise include Talent & Performance
Management, Corporate/Public Sector Leadership, Corporate Accountability and
Human Resource Management. He has presented paper at the program of the North
American Case Research Association (NACRA) at San Antanio, Texas on Sustaining
a Social Enterprise. He has earlier served as Managing Editor, IIMK Society
& Management Review, from June 2017-March 2019.","Assistant Professor, IIM Kozhikode",Prof. Kapil Verma,INR 105932 + GST,USD 1287,IIM Kozhikode,," Talent sourcing  |  Employee retention,  |  Workforce planning  |  Development Analytics  |  HR best practices ","Managers/ HR Professionals who need to take crucial business decisions through HR Management and Analytics, Non HR Professionals wish to enter HR field, MBA Graduates aspiring to learn importance of HR Management and Analytics", Professional Certificate Programme, HR Management  |  Workforce Planning and Talent sourcing  |  Talent Acquisition and Development Analytics  |  HR Practices and Benchmarking 
,https://talentedge.com/ecornell/certificate-course-digital-transformation,,,,,,,,,,,,,,,,,
,https://talentedge.com/ecornell/certificate-course-strategic-human-resources-leadership,,,,,,,,,,,,,,,,,
"1. Foundation Phase
2. Dissertation Phase",https://talentedge.com/esgci-school-of-management-paris/doctorate-of-business-administration-esgci,"31 Mar, 2024","Under the guidance of scholar-practitioners, unlock the management's terminal degree by Ecole Supérieure de Gestion et Commerce International, Paris. Cement your industry expertise with a doctorate degree while you work.",Duration: 36 Months,"Professor at Paris School of Business and head of DBA development. He got his Ph.D. in finance and management from the Université Paris-Dauphine and certification to supervise doctoral research (H.D.R) from the Université Paris-II Panthéon Assas. His research focuses on finance and monetary policies, human capital, and the digitization of management. He authored 5 books and published multiple research articles in peer- reviewed journals such as The Journal of Developing Areas, International Journal of Emerging Markets, International Journal of Business and Social Science, Human Resource Planning, The Journal of European etc.",Professor,Dr. Josse Roussel,"Professor at Paris School of Business and head of DBA development. He got his Ph.D. in finance and management from the Université Paris-Dauphine and certification to supervise doctoral research (H.D.R) from the Université Paris-II Panthéon Assas. His research focuses on finance and monetary policies, human capital, and the digitization of management. He authored 5 books and published multiple research articles in peer- reviewed journals such as The Journal of Developing Areas, International Journal of Emerging Markets, International Journal of Business and Social Science, Human Resource Planning, The Journal of European etc.",Professor,Dr. Alain Kruger,INR 740741 + GST,USD 9055,"ESGCI School of Management, Paris",, Applied Research  |  Concept Selection  |  Management Issues Redressal  |  Critical Decision-Making  |  Analytical Skills ,"Working professionals who are looking for a transition into the C-suite, Senior Management professionals looking to become experts in their domain of choice", Doctorate Of Business Administration, Recognizing and solving the business problem  |  Data collection techniques  |  Disruptive Innovation Strategy  |  Organizational Agility and Winning Execution  |  Networking opportunities with 75+ nationalities  |  1:1 Thesis Supervision 
"1. The Firm and the Consumer
2. Global Economics
3. Business Statistics
4. Organizational Behaviour
5. Analysis of Financial Statement
6. Operations Management
7. People Management
8. Emerging Technology: Impact on Future of Business
9. Marketing Management
10. Financial Management and Valuation
11. Capital Markets and Instrument
12. Business Ethics & Corporate Social Responsibility
13. Term-wise Independent Research Projects
14. Specialisation Courses in Term 4",https://talentedge.com/opjindal-global-business-school/masters-of-business-administration-opj-global-university,"31 Mar, 2024","This program is a one year online MBA designed for working professionals. The curriculum is comprehensive and covers aspects of Marketing, operations, finance and HR. Along with the foundational course, the learner may select any of the specializations available for an in-depth understanding of a particular topic: Finance, Digital Finance, Marketing and Strategy & Leader",Duration: 12 months,"Chris has a PhD in International Relations from the University of Oxford and a BA from Brown University and lectures at a university in the United States. He founded Two Lanterns Advisory, a political risk consultancy.","Adjunct faculty, upGrad",Chris Oates,"Chris has a PhD in International Relations from the University of Oxford and a BA from Brown University and lectures at a university in the United States. He founded Two Lanterns Advisory, a political risk consultancy.",Adjunct Professor IIM Bangalore,Rakesh Godhwani,INR 127119 + GST,USD 0,OPJindal Global Business School,, Decision Making in business context  |  Analytical Thinking  |  Problem solving  |  Holistic Approach to business ,This programme is useful for freshers as well as experienced professionals since it covers all aspects of business starting from fundamentals to complex topics as part of specialisations., Masters Of Business Administration, Marketing Fundamentals  |  Economics: Micro & Macro  |  Human Resource Management  |  Operations Management  |  Emerging Technology: AI/Blockchain in the context of business  |  Specialization: Advanced content of the chosen field  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network 
"1. Program Introduction
2. Fundamentals of Management and Organisational Behaviour
3. Hospital Planning and Services
4. Business Communication
5. Benchmarking in Healthcare
6. Financial Management
7. e-Skills in Healthcare
8. Human Resource Management in Healthcare
9. Problem Solving Skills
10. Ethical and Legal Aspects of Healthcare
11. Material Management in Healthcare
12. Interview Skills
13. Healthcare Marketing
14. Research Methodologies in Healthcare
15. Capstone Project",https://talentedge.com/goa-institute-of-management/exectuive-pg-program-in-health-care-management,"31 Mar, 2024",India's healthcare industry is expected to grow and hit $50 billion in size by 2025. Healthcare has become more focused on innovation and technology in the post-Covid era. About 80% of the healthcare ecosystem aims to increase investment in digital healthcare tools in the foreseeable future. Telemedicine is also expected to reach $5.5 billion by 2025. Since there is,Duration: 11 months,"Ajay is a Professor at the Goa Institute of Management. He holds a doctoral degree from the University of London for his work on developing a mHealth-enabled intervention for hypertension and diabetes care in Himachal Pradesh, India..Ajay has, overall, 18 years of experience in non-communicable disease (NCD) epidemiology and prevention. In the past ten years, he was into the application of digital health for improving the care delivery of common chronic NCD conditions in primary care. His work led to the development of the ""mPower Heart Digital Health System"" for NCD care. The electronic clinical decision support (EDSS) module of the mPower Heart Digital Health System has been integrated into the national Electronic Health Record portal of the Government of India.","Professor, Healthcare Management",Ajay Vamadevan,"Ajay is a Professor at the Goa Institute of Management. He holds a doctoral degree from the University of London for his work on developing a mHealth-enabled intervention for hypertension and diabetes care in Himachal Pradesh, India..Ajay has, overall, 18 years of experience in non-communicable disease (NCD) epidemiology and prevention. In the past ten years, he was into the application of digital health for improving the care delivery of common chronic NCD conditions in primary care. His work led to the development of the ""mPower Heart Digital Health System"" for NCD care. The electronic clinical decision support (EDSS) module of the mPower Heart Digital Health System has been integrated into the national Electronic Health Record portal of the Government of India.","Associate Professor, Healthcare Management",Alekh Gour,INR 97458 + GST,USD 1189,Goa Institute of Management,, Hospital Planning and Services  |  Ethical & Legal issues in Healthcare  |  Healthcare Marketing  |  Operations and Material management  |  Benchmarking in Healthcare ,"Freshers, Early-age Professionals, Medical Professionals, Entrepreneurs", Executive Post Graduate Program, Hospital Planning & Services  |  Medico-Legal and Ethical Aspects of healthcare organisations  |  Healthcare Marketing  |  Qualitative Research Methodologies  |  95% Completion Rate  |  92% Satisfaction Score 
,https://talentedge.com/ecornell/certificate-course-technology-leadership,,,,,,,,,,,,,,,,,
